date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:27	392/392	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Jan%202023%2014:03:26%20GMT	https://betdls.com/robots.txt		(from )
15:03:27	2/2	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jan%202023%2014:03:26%20GMT	https://betdls.com/	E:/GrooBet/Website/Groobet/betdls.com/index.html	(from )
15:03:27	72646/72646	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2014:03:27%20GMT	https://betdls.com/roulette	E:/GrooBet/Website/Groobet/betdls.com/roulette.html	(from https://betdls.com/)
15:03:27	109452/109452	---M--	200	added ('OK')	image/png	etag:%221ab8c-5ed570e375c00%22	https://betdls.com/favicon-16x16.png?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/favicon-16x16d405.png	(from https://betdls.com/roulette)
15:03:27	109452/109452	---M--	200	added ('OK')	image/png	etag:%221ab8c-5ed570e469e40%22	https://betdls.com/favicon-32x32.png?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/favicon-32x32d405.png	(from https://betdls.com/roulette)
15:03:28	109452/109452	---M--	200	added ('OK')	image/png	etag:%221ab8c-5ed570e469e40%22	https://betdls.com/favicon-96x96.png?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/favicon-96x96d405.png	(from https://betdls.com/roulette)
15:03:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://betdls.com/roulette)
15:03:28	6741/6741	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffe-1a55%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.css	(from https://betdls.com/roulette)
15:03:29	53662/53662	---M-Z	200	added ('OK')	text/css	etag:%22d19e-5f044eb51c400-gzip%22	https://betdls.com/template/css/style.css?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/template/css/styled405.css	(from https://betdls.com/roulette)
15:03:29	27543/27543	---M-Z	200	added ('OK')	text/css	etag:%226b97-5ef67d901d840-gzip%22	https://betdls.com/template/css/others.css?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/template/css/othersd405.css	(from https://betdls.com/roulette)
15:03:29	6821/6821	---M-Z	200	added ('OK')	text/css	etag:%221aa5-5ed570ec0b040-gzip%22	https://betdls.com/template/css/bouncer.css?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/template/css/bouncerd405.css	(from https://betdls.com/roulette)
15:03:29	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://betdls.com/roulette)
15:03:29	3121/3121	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-c31%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.js	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/jquery-cookie/1.4.1/jquery.cookie.js	(from https://betdls.com/roulette)
15:03:30	114397/114397	---M-Z	200	added ('OK')	application/javascript	etag:%226284383f-63b7%22	https://cdnjs.cloudflare.com/ajax/libs/socket.io/4.5.1/socket.io.js	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/socket.io/4.5.1/socket.io.js	(from https://betdls.com/roulette)
15:03:30	4497/4497	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffe-1191%22	https://cdnjs.cloudflare.com/ajax/libs/tinysort/2.3.6/tinysort.min.js	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/tinysort/2.3.6/tinysort.min.js	(from https://betdls.com/roulette)
15:03:30	5537/5537	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffe-15a1%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/toastr.min.js	(from https://betdls.com/roulette)
15:03:31	198/198	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Jan%202023%2014:03:31%20GMT	https://cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.js	E:/GrooBet/Website/Groobet/cdn.rawgit.com/davidshimjs/qrcodejs/gh-pages/qrcode.min.e.delayed	(from https://betdls.com/roulette)
15:03:31	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	E:/GrooBet/Website/Groobet/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs@gh-pages/qrcode.min.js	(from https://betdls.com/roulette)
15:03:31	148683/148683	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cee-244cb%22	https://cdnjs.cloudflare.com/ajax/libs/Chart.js/2.4.0/Chart.min.js	E:/GrooBet/Website/Groobet/cdnjs.cloudflare.com/ajax/libs/Chart.js/2.4.0/Chart.min.js	(from https://betdls.com/roulette)
15:03:32	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2004%20Jan%202023%2014:03:32%20GMT	https://www.google.com/recaptcha/api.js	E:/GrooBet/Website/Groobet/www.google.com/recaptcha/api.js	(from https://betdls.com/roulette)
15:03:32	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	E:/GrooBet/Website/Groobet/www.google-analytics.com/analytics.js	(from https://betdls.com/roulette)
15:03:32	16887/16887	---M-Z	200	added ('OK')	application/javascript	etag:%2241f7-5ef71004de0c0-gzip%22	https://betdls.com/template/js/settings.js?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/template/js/settingsd405.js	(from https://betdls.com/roulette)
15:03:32	143895/143895	---M-Z	200	added ('OK')	application/javascript	etag:%2223217-5f0fa697f6480-gzip%22	https://betdls.com/template/js/app.js?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/template/js/appd405.js	(from https://betdls.com/roulette)
15:03:33	377669/377669	---M--	200	added ('OK')	image/png	etag:%225c345-5eff6a9c7f340%22	https://betdls.com/template/img/logo.png?v=1672841007	E:/GrooBet/Website/Groobet/betdls.com/template/img/logod405.png	(from https://betdls.com/roulette)
15:03:33	2/2	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jan%202023%2014:03:33%20GMT	https://betdls.com/auth/steam?assign=0&return=roulette	E:/GrooBet/Website/Groobet/betdls.com/auth/steam.169188.delayed	(from https://betdls.com/roulette)
15:03:34	2/2	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jan%202023%2014:03:34%20GMT	https://betdls.com/auth/google?assign=0&return=roulette	E:/GrooBet/Website/Groobet/betdls.com/auth/google9188	(from https://betdls.com/roulette)
15:03:34	2/2	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jan%202023%2014:03:34%20GMT	https://betdls.com/auth/logout?devices=0&return=roulette	E:/GrooBet/Website/Groobet/betdls.com/auth/logout167b	(from https://betdls.com/roulette)
15:03:34	2/2	---M--	302	error ('Found')	text/html	date:Wed,%2004%20Jan%202023%2014:03:34%20GMT	https://betdls.com/auth/logout?devices=1&return=roulette	E:/GrooBet/Website/Groobet/betdls.com/auth/logout8810	(from https://betdls.com/roulette)
